SL No,Company,Country,Country Code,Market Cap,Diversity,Stock Price (2015),Stock Price (2016),Stock Price (2017),Stock Price (2018),Stock Price (2019),Stock Price (2020),Stock Price (2021),Stock Price (2022),Stock Price (2023),Stock Price (2024),Expense (2015),Expense (2016),Expense (2017),Expense (2018),Expense (2019),Expense (2020),Expense (2021),Expense (2022),Expense (2023),Expense (2024),Revenue (2015),Revenue (2016),Revenue (2017),Revenue (2018),Revenue (2019),Revenue (2020),Revenue (2021),Revenue (2022),Revenue (2023),Revenue (2024),Market share (2015),Market share (2016),Market share (2017),Market share (2018),Market share (2019),Market share (2020),Market share (2021),Market share (2022),Market share (2023),Market share (2024)
812,Oyonder,Poland,PLN,$129.61M,99.1,$465.13M,$171.78M,$1.32B,$1.33B,$197.05M,$1.11B,n/a,$575.54M,n/a,$323.86M,$42531647.81,$14161235.11,$81595519.98,$88342126.74,$43269189.31,$11229746.25,$98488714.14,$58414800.99,$18988639.16,$50515935.41,$71125692.05,$89718767.66,$88874186.13,$16725698.00,$2884465.17,$32438688.55,$13721014.10,$81564137.65,$65291766.28,$87408123.18,95.18,58.98,98.21,66.45,13.44,15.18,37.76,86.75,52.64,19.04
813,Jaxbean,Ireland,EUR,$4.06B,65.6,$3.97B,$2.64B,$1.37B,$5.29B,$42.5B,$210.02M,$1.02B,$18.29B,n/a,$4.09B,$84723199.98,$31198334.16,$56135596.85,$39394007.99,$19248119.67,$13757006.81,$43970784.74,$13953758.61,$8506902.65,$96972410.74,$84843942.50,$30954367.11,$77306223.59,$52579659.64,$80216583.90,$40946117.93,$56894858.41,$18760453.91,$15439060.36,$81883476.80,57.55,83.07,21.81,48.78,31.19,72.11,11.52,76.34,18.41,3.35
814,Dablist,Indonesia,IDR,$14.05M,77.4,n/a,$3.74B,$5.07B,$13.52M,$2.21B,$8.63B,$899.86M,n/a,$10.91M,$8.29B,$82782264.68,$17868320.95,$40697729.41,$27631969.82,$12675013.50,$50726498.40,$2963795.22,$10681635.97,$16055029.70,$58873531.38,$67451201.87,$73288853.82,$85245382.74,$36087973.22,$9976268.44,$79386735.58,$23264714.08,$37198349.40,$91070668.36,$92146331.93,86.18,5.03,85.2,21.38,20.59,50.25,59.27,54.76,6.1,1.36
815,Jabbersphere,Indonesia,IDR,n/a,65.1,$390.56M,$10.91M,$6.29M,$96.24B,$4.15B,$154.23M,$7.87M,n/a,$1.09B,$130.45M,$38981637.35,$87102699.19,$23034058.51,$31846214.46,$9604806.75,$20072125.00,$95619834.48,$36733164.08,$18192286.41,$9302632.67,$94741344.58,$63374981.02,$59340734.92,$15611581.01,$14110403.80,$70876971.70,$81750377.36,$55809565.19,$62598365.77,$4821213.21,92.3,28.57,71.45,31.36,5.7,79.47,79.64,23.75,92.4,65.83
816,Linkbridge,Philippines,PHP,$14.65M,91.1,$3.11B,$151.54M,n/a,$99.42M,n/a,$20.13M,n/a,$463.67M,$165.11B,n/a,$20476499.76,$93686431.43,$21142301.37,$90179338.90,$38080329.73,$33866504.81,$29773542.90,$35151691.59,$8186664.78,$14003669.28,$71506490.87,$12083672.68,$37093910.45,$50976517.22,$65015352.90,$80777297.61,$90730857.61,$56828003.66,$85354208.60,$29725353.08,92.62,7.59,74.39,97.58,72.32,10.23,7.05,25.79,11.63,61.01
817,Skinte,China,CNY,$744.13M,69.4,$152.21M,$35.34B,$90.35B,$2.54B,$57.44B,$650.09B,$63.59M,n/a,$42.28M,$434.35M,$66444533.33,$39852272.72,$48085684.57,$3704347.28,$46542809.81,$79718116.51,$75001025.74,$77581631.06,$89734975.34,$88666941.22,$23624609.41,$50824848.51,$8980163.57,$95238741.55,$68169565.92,$58782310.61,$30972052.58,$18267146.39,$19464793.01,$43984687.87,47.2,99.59,72.38,51.73,47.25,89.45,52.86,40.64,83.52,30.28
818,Centimia,China,CNY,$26.78B,31.3,$6.88B,$80.33M,$580.2M,$1.02B,$8.62B,n/a,$4.38B,$14.16B,n/a,$1.64B,$10842440.42,$92367995.45,$77268316.22,$75313831.50,$25050693.36,$29334262.53,$70525589.35,$86956215.79,$68828649.35,$55371638.80,$41402928.81,$93843708.76,$31822546.37,$43087270.70,$62982233.52,$13762954.41,$43114549.55,$37980474.48,$39133876.28,$61689773.45,78.89,19.98,88.96,47.12,38.69,11.53,12.75,41.93,41.79,46.54
819,Riffpedia,Netherlands,EUR,$1.56B,25.2,$1.51B,$26.42B,$3.32B,$14.2M,$985.94M,$1.12B,$4.68B,$1.73B,$536.19M,n/a,$33979724.39,$74034284.79,$75562664.24,$60221513.14,$85237724.08,$71629034.68,$36086296.25,$98175544.43,$38154897.44,$44275208.72,$91586459.17,$83967174.58,$53023204.76,$56424744.79,$84857886.66,$57433781.08,$80562536.35,$10361040.50,$42321480.92,$62634457.39,56.45,51.12,65.38,45.08,17.3,1.48,92.54,1.85,53.06,74.58
820,Fatz,Palestinian Territory,ILS,n/a,28.1,$92.4M,$2.76B,$8.43B,$52.75M,$542.39M,$608.57M,$9.37B,$56.64B,$3.92B,$1.13B,$43548078.21,$81299119.95,$20131215.19,$35721094.46,$55005920.80,$9661754.21,$51172314.75,$63278266.18,$75548848.17,$41783389.30,$1048600.13,$18335313.29,$37798997.78,$52761335.82,$54829567.81,$55720904.70,$44996053.77,$65465482.05,$85138592.52,$28824480.32,45.23,94.1,93.02,34.07,65.88,34.66,60.72,97.67,68.8,7.48
821,Dabshots,Haiti,HTG,$229.77M,34.7,$34.46M,$3.79B,$4.61B,$1.53B,$167.72M,$940.61M,$1.55B,$231.87M,$187.27B,$4.72B,$45317264.97,$63704215.86,$67402908.10,$44625919.45,$6124716.38,$37339021.31,$97838721.93,$68332050.13,$63326045.23,$52547785.10,$10206238.35,$71778288.22,$25106694.87,$21666783.41,$60033051.85,$21459328.97,$28658234.69,$76736233.90,$9641820.77,$33419945.61,4.12,10.63,3.1,60.05,99.99,54.83,44.45,69.16,25.97,84.31
822,Dabjam,Portugal,EUR,$98.94M,54.7,$253.22M,$1.71B,$209.48M,$1.86B,$1.93M,$1.18B,$203.27M,$6.43B,$804.76M,$58.53M,$34108631.98,$4256004.62,$2414184.62,$89584256.43,$77961769.98,$56016013.82,$26401582.92,$47060117.81,$18711253.25,$52171636.31,$53154836.41,$93734734.60,$75854932.57,$65743917.90,$3145098.49,$19533028.62,$68667166.61,$72830196.03,$3144089.39,$80515912.92,61.44,9.0,68.46,63.35,22.95,26.79,16.33,53.87,80.99,44.92
823,Kamba,China,CNY,$713.38M,21.9,$675.67M,$13.14B,n/a,$228.02M,$148.93M,$1.04M,$5.14B,$2.43B,$79.48M,n/a,$43097675.96,$7726443.66,$43798408.43,$72930848.75,$34340561.16,$68691730.98,$30835339.94,$32946008.38,$10240806.99,$50323343.01,$69071318.99,$51992322.28,$34177185.53,$14228799.77,$23815588.05,$82759159.00,$72209940.60,$5999973.46,$41605010.01,$63796966.56,89.0,30.99,84.5,35.51,16.45,99.14,28.92,55.42,98.13,81.74
824,Kwinu,Mexico,MXN,n/a,48.1,$35.86B,n/a,n/a,$2.17B,$2B,n/a,$3.6B,$3.31B,$462.86M,$420.47M,$47830110.47,$24875079.40,$3233006.74,$63844584.39,$24719642.67,$43345864.88,$70545828.39,$4712039.61,$44216634.15,$75426166.25,$36661005.06,$88596603.05,$42571147.41,$65996380.21,$36190880.22,$30822345.61,$631613.15,$16605571.80,$15866972.08,$73345850.49,6.67,96.05,63.51,65.0,9.86,80.19,81.83,53.49,5.89,83.35
825,Flashspan,Brazil,BRL,n/a,82.7,n/a,$1.6B,$6.79M,$163.76M,$14.45B,$23.69B,$130.23M,$51.34B,$145.93M,$480.47M,$20170771.24,$63475572.84,$53098947.06,$89689804.65,$33902499.78,$22024538.98,$47728416.94,$98348444.29,$13323585.29,$80039563.66,$27737903.60,$64575496.62,$55229447.16,$63113532.71,$49402303.64,$21306481.50,$95254478.47,$80048551.94,$64964213.86,$22649338.19,82.77,27.99,70.71,64.83,24.81,54.28,72.55,67.08,8.92,34.76
826,LiveZ,Sweden,SEK,$4.61B,30.0,$85.86M,$6.79B,$118.37M,$4.57B,$1.23B,n/a,$398.74M,$265.68M,$95.4M,$1.3B,$44217721.95,$70496204.62,$25145659.24,$89297576.88,$35383658.05,$30394360.23,$7725075.68,$26325479.48,$55183504.63,$32223466.13,$51748957.36,$39091054.93,$54749241.96,$92039497.31,$56331933.36,$31563548.15,$63477451.92,$25247980.77,$90459342.24,$40776410.19,23.51,75.2,13.44,84.41,30.78,78.17,80.03,8.82,86.08,85.95
827,Blogtag,China,CNY,n/a,90.5,n/a,$67.87M,$201.19M,$33.43M,$1.59B,$63.46M,n/a,$33.2B,$8.4B,$1.78B,$67295153.22,$97439881.84,$44967839.56,$56466669.42,$48836819.06,$30197152.10,$90773267.65,$71927927.58,$8151748.76,$9409787.17,$87957272.99,$9159687.41,$32054187.20,$40297682.11,$10108429.01,$44090442.97,$51548450.72,$91716603.94,$66957738.36,$96654748.48,67.85,1.81,93.79,87.52,27.24,18.96,35.54,95.32,68.63,93.2
828,Skipstorm,Canada,CAD,n/a,100.0,$84.21M,$27.02B,$7.93B,n/a,$4.32B,$685.51M,n/a,$4.68B,$4.61B,$2.68B,$95443726.14,$13493025.80,$51090699.69,$9373729.40,$81617699.82,$70153359.17,$86345706.55,$27297519.83,$65578883.02,$70605242.56,$32060471.25,$87279995.44,$86630157.14,$92832897.48,$56652888.78,$53801447.41,$59720038.41,$90183494.46,$76456357.58,$7945279.50,65.45,93.99,23.92,18.27,86.55,20.56,15.99,62.77,85.1,76.65
829,Zoonoodle,Germany,EUR,$1.12B,99.7,n/a,$361.9M,$21.66B,$774.33M,$772.29M,$3.57B,$568.21M,$1.38B,$12.31M,$153.44M,$25387978.16,$58106042.99,$72380505.60,$913961.06,$45077345.97,$71554457.32,$22044469.98,$8496249.31,$12341899.03,$32303149.84,$83874380.32,$42103865.92,$52353797.74,$1975658.75,$46001172.14,$96552691.62,$30839242.18,$33769894.22,$99007901.11,$97879862.84,85.35,51.82,43.28,24.01,74.57,52.77,95.91,77.55,80.35,25.38
830,Demimbu,Croatia,HRK,$719.35M,59.7,$24.37B,$127.25M,$1.04B,$664.71M,$905.46M,$4.21B,$3B,$10.51B,$200.59M,$513.32M,$50250916.14,$78896368.62,$1353731.71,$8013913.13,$70277998.84,$85815559.62,$57499226.56,$46550828.66,$52215823.42,$77763943.06,$80257374.29,$95353284.53,$40396934.83,$20302290.78,$79269206.36,$7025549.39,$42593454.94,$17244742.80,$29131608.79,$61121177.61,99.55,36.88,38.62,64.41,81.78,60.28,72.5,44.99,94.26,95.56
831,Eire,Angola,AOA,$498.13M,86.9,$67.4B,n/a,$2.09B,$759.26M,$387.13M,$280.36M,$780.06M,$8.56B,$62.74M,n/a,$61618321.82,$49046807.44,$15059185.33,$44593901.23,$93322630.41,$43748344.30,$14330215.75,$46132253.70,$29581486.97,$71359613.82,$6043366.56,$71357715.85,$84278541.03,$42317644.73,$74535.64,$96020812.78,$43802360.72,$458241.84,$69732901.77,$42143141.47,80.11,38.75,87.03,90.45,4.62,73.28,29.67,60.72,95.12,81.23
832,Skippad,Central African Republic,XAF,$37.85M,92.2,$975.87M,$2.52B,n/a,$1.74B,n/a,n/a,$85.86M,$128.91M,n/a,$10.2B,$96326404.07,$72852053.71,$20217897.43,$1483922.73,$27244113.97,$44908202.53,$94320393.67,$68754643.79,$98683419.09,$98153144.90,$3212297.00,$36124484.19,$37433118.43,$98958399.44,$16281920.58,$4302933.79,$87605624.64,$17618117.17,$56736560.73,$64246794.75,97.44,45.76,1.47,41.07,73.01,16.42,97.65,54.39,90.77,23.63
833,Browsecat,China,CNY,$612.6M,34.1,$299.1M,$1.02B,$2.47B,$998.43M,$320.72M,n/a,$568.57M,$940.53M,$20.34B,$105.14M,$71446492.86,$41977189.78,$69061020.61,$28389486.26,$43104064.70,$5753729.19,$95114842.09,$56237370.95,$31524879.86,$74152355.65,$98519551.54,$34062012.86,$88327185.77,$91126372.21,$57333359.21,$97558329.04,$53289169.45,$49667223.52,$25512567.86,$69411333.66,17.37,97.24,83.59,80.7,58.63,64.62,11.41,74.36,56.93,10.61
834,Flashset,China,CNY,$13.32B,66.3,$9.37B,$612.6M,$94.21M,$6.58B,$1.05B,$175.26M,$23.91B,$87.31B,$317.19M,$165.72M,$44740996.12,$48221858.60,$11794493.23,$70886213.95,$17368579.60,$2996311.89,$16927427.38,$73895345.65,$29266964.12,$48109822.71,$51798848.16,$90742367.81,$1763050.04,$53436059.05,$34290871.27,$33068075.60,$21139018.47,$89044824.77,$19130080.68,$21970821.66,79.68,29.01,70.44,29.41,17.59,3.56,4.34,18.19,94.46,61.93
835,Aimbo,South Africa,ZAR,$4.14B,47.3,n/a,$84.3M,$1.77B,$101.28M,$42.26M,$376.32M,$265.68M,$1.81B,n/a,$17.94B,$72000035.68,$20067458.41,$51175195.19,$60005979.96,$32915398.91,$54370414.27,$58007334.73,$3445573.79,$1411647.93,$8292531.67,$61646445.76,$61546665.00,$39802535.79,$92555387.79,$99950283.81,$7289820.06,$70561257.55,$7781404.59,$41715559.28,$11267055.85,85.33,73.04,24.81,81.67,7.37,3.4,19.52,41.19,79.93,18.74
836,Photobean,Indonesia,IDR,n/a,20.7,$151.54M,$3.26B,n/a,$421.11M,$24.52M,n/a,$81.44M,$484.37M,$10.8B,$24.67B,$3525927.75,$14372886.13,$8831740.86,$50389117.38,$98269787.66,$87865845.59,$5107884.26,$49415938.65,$62879452.42,$29693085.16,$39704656.25,$15527588.27,$78813014.99,$4395519.12,$71746013.95,$54976170.89,$41237759.80,$4811953.37,$75707281.89,$59272333.68,40.76,90.04,78.52,63.53,1.35,92.46,32.45,33.32,4.79,5.79
837,Mybuzz,Russia,RUB,$1.6B,43.8,$155.4M,$810.73M,$332.05M,$4.89B,$12.08B,$13.52M,n/a,$520.48M,$38.16M,$414.73M,$19201235.21,$60767174.93,$38993521.42,$51769599.71,$3454851.47,$94054969.53,$76033129.63,$70254801.31,$96599971.17,$26569647.88,$22512370.24,$13256716.89,$48519293.04,$37810415.14,$17652780.41,$62013101.51,$46843370.76,$88064805.34,$44425117.00,$17338920.01,68.52,61.85,20.22,4.12,65.69,18.46,36.4,91.51,53.88,52.67
838,Quimba,Russia,RUB,$256.07M,30.1,$50.77B,n/a,$238.7M,$873.82M,$51.34B,n/a,n/a,$294.48M,$5.64B,$84.93M,$21658041.63,$64343735.43,$1887728.64,$98007692.58,$56134802.88,$32145923.50,$1382520.94,$88312004.33,$58971463.62,$96380661.16,$5692243.76,$891422.08,$97224237.38,$92917770.77,$79299717.47,$17206106.51,$76449381.31,$50588210.99,$97047826.61,$59288431.39,89.08,92.47,52.42,58.33,76.63,32.49,30.08,29.77,35.76,48.66
839,Brainverse,China,CNY,$8.02B,75.6,$54.41B,$1.4B,n/a,$52.67M,$10.06M,$446.47M,$323.94M,$844.04M,$430.9M,$1.42B,$61033735.53,$10215599.09,$93684000.31,$2054231.97,$58967104.47,$61433894.44,$5992127.02,$80346372.38,$92265792.64,$58858467.42,$5333890.78,$18304056.68,$62931185.42,$76601929.11,$3078422.19,$35186546.54,$94992120.39,$73622403.95,$73130417.52,$30292869.63,47.76,14.13,59.71,21.56,12.4,72.59,24.1,12.56,6.53,39.5
840,Youspan,China,CNY,$492.78M,42.6,$10.76B,$311.18M,$33.29B,$3.5B,n/a,$193.59B,$1.87B,$27.94B,$2.42B,$50.34B,$43779597.14,$57158095.65,$12880970.62,$54366018.58,$24891323.56,$80253531.49,$82814928.62,$13592578.49,$28609534.22,$48329814.52,$28472417.77,$1714393.31,$80700474.35,$13386395.73,$15324138.89,$91760393.34,$20363223.35,$97754885.31,$84700833.39,$47134929.15,15.59,91.96,3.13,3.93,97.29,12.71,80.16,73.19,24.04,75.57
841,Kamba,Ecuador,USD,$135.24B,64.6,$4.61B,$29.19B,n/a,$225.51M,$59.23M,$1.86B,n/a,n/a,$8.29B,$334.83M,$54979542.52,$3795197.62,$87287799.55,$20864164.12,$15109448.78,$91417328.40,$17629203.37,$87226225.36,$39031595.61,$84833259.77,$76889295.46,$2489649.29,$99052575.64,$95522532.91,$60272525.26,$59291857.63,$5016356.53,$23010114.74,$90609398.03,$15266565.88,69.94,62.31,83.54,7.47,83.04,59.1,95.57,18.43,51.71,95.24
842,Kwimbee,Brazil,BRL,$57.58B,92.1,$299.12M,$446.47M,$3.3B,$323.86M,$4.04B,$481.23M,$90.32M,$221.12M,$266.19M,n/a,$14526458.91,$21395999.95,$44345939.45,$11946061.55,$81941338.98,$21774148.25,$57471004.28,$90974929.60,$49712434.64,$61450150.43,$60676919.10,$95287046.08,$27295757.86,$69250085.08,$2355366.18,$46428090.77,$10132784.64,$1031046.70,$17857203.64,$98247447.99,44.94,18.94,51.14,98.27,96.67,8.61,52.96,37.3,95.09,37.27
843,Devify,Mexico,MXN,$114.27M,91.0,n/a,$734.96M,$873.82M,n/a,$1.77B,$10.74B,$17.14B,$2.41B,$1.74B,n/a,$16156135.67,$94068573.82,$65371148.22,$35300390.46,$53816328.73,$58339790.61,$51386910.59,$29186873.37,$19811317.11,$81077616.17,$47662662.02,$87553794.59,$63275293.84,$79070743.69,$59373343.95,$47257959.00,$54188141.98,$18578783.00,$92221678.14,$98667834.81,54.45,47.85,76.92,7.81,11.25,44.16,72.23,48.82,87.72,19.91
844,Zoomcast,Serbia,RSD,$10.92B,85.4,$35.34B,$729.05M,$215.37M,$1.02B,$16.97B,$122.85B,$25.39M,$2.01B,n/a,$405.57M,$19883423.44,$84438308.98,$52271364.98,$22825665.03,$83715305.30,$96216776.91,$17361877.61,$315365.67,$6903671.84,$51945826.09,$36973010.52,$62893554.00,$41873409.98,$18665105.81,$55585230.09,$19008953.32,$4391526.70,$74932272.30,$56865895.16,$93704176.20,70.53,4.89,12.35,59.7,70.69,98.2,12.54,16.6,18.0,49.64
845,Eimbee,Colombia,COP,$46.84M,88.6,n/a,$1.53B,n/a,$7.99B,n/a,$1.35B,$242.27M,$6.33B,$441.75M,$18.77B,$90586316.37,$32558813.21,$9331505.84,$86579633.22,$31498022.67,$18828551.96,$43073809.16,$96061593.21,$80429870.74,$3657424.35,$37264224.70,$72529843.91,$98208529.32,$65203955.61,$37584662.33,$8926042.98,$58371336.69,$53256125.78,$61586690.79,$14436273.73,89.64,53.35,9.59,60.43,5.55,52.44,56.39,64.32,56.65,92.41
846,Kwinu,Philippines,PHP,$4.69B,56.9,$151.51M,$3.69B,$104.02M,$63.24M,$4.23B,$82.91M,$3.84B,$137.47M,$24.52M,$271.7M,$68437360.32,$5464058.27,$32283002.45,$86764367.91,$98258478.12,$33862102.28,$1649006.15,$90988293.95,$89582305.90,$99510406.30,$7214467.97,$41581358.52,$83990918.11,$15388534.51,$97218348.95,$26218366.19,$31163185.21,$86725888.24,$16851117.31,$70399780.89,19.26,11.77,91.07,54.15,78.28,98.9,17.41,2.07,74.47,87.92
847,Meejo,Greece,EUR,$2.17B,75.0,$251.77M,$780.46M,$52.17M,$2.16B,$13.15M,$3.16B,$277.82M,n/a,$3.73B,$626.7M,$55586578.14,$24194024.72,$36998197.86,$49885165.93,$12387295.07,$10554894.34,$5363585.88,$41133002.25,$7021310.33,$65237217.34,$33709638.82,$34174809.53,$98780346.42,$66887956.75,$44434148.13,$25484619.72,$67607204.45,$27409077.84,$54366138.33,$63448444.84,84.01,84.34,42.69,90.51,13.05,52.21,22.05,62.78,18.5,47.15
848,Yata,Guinea-Bissau,XOF,$299.1M,24.6,$299.1M,$69.92M,$1.98B,$725.83M,$39.48B,$11.84B,$172.02M,$19.54B,n/a,$324.08M,$81648750.06,$6237777.47,$64530349.77,$61662289.43,$8382599.08,$33111900.28,$27945913.83,$50311934.92,$88562090.41,$71910709.53,$13698657.62,$42043325.72,$15395801.74,$30009819.19,$65979270.20,$27261290.43,$71220744.12,$58782665.13,$59871685.18,$59525803.86,69.18,50.0,47.93,32.43,72.24,8.73,70.46,19.68,65.67,75.92
849,Dynazzy,Netherlands,EUR,$4.61B,28.0,$199.02M,n/a,$204.83M,$326.22M,$61.78M,$970.14M,$33.71M,$3.52B,$98.15M,$43.5M,$97127642.55,$74159981.77,$28863320.95,$57453679.57,$55226342.00,$74512925.16,$71673626.74,$73989379.16,$12684002.31,$80069108.74,$81734253.87,$55230844.07,$4583768.14,$6751265.56,$86055939.16,$54258419.97,$25349896.14,$76485209.92,$91788723.04,$97819777.68,16.54,87.63,32.7,72.24,16.91,15.15,41.2,74.02,38.12,57.94
850,Gabtype,Czech Republic,CZK,$24.37B,98.6,$560.24M,$350.57M,$277.95M,$264.33M,$64.33M,$6.35B,$413.03M,$5.06B,$269.2M,$21.76M,$65378079.82,$81104144.69,$5114044.87,$84577373.04,$13651802.93,$87136016.23,$90927530.61,$7521164.67,$22041554.03,$4971754.17,$79259392.90,$24946172.89,$44818774.08,$72393926.18,$47758428.20,$29020892.74,$69164656.77,$18135177.05,$24817399.74,$84569644.32,51.8,56.01,50.04,2.89,7.46,41.7,5.05,20.92,64.64,70.51
851,Thoughtsphere,Ukraine,UAH,$38.75M,80.5,$6.28B,$64.88M,$51.95B,$13.01M,$476.74M,$137.52M,$1.39B,$592.54M,$375.09M,$7.15B,$42728769.43,$17144171.34,$99522551.79,$52351962.40,$28390064.93,$66803333.01,$65278871.69,$34606927.02,$62682409.03,$40887129.67,$55970751.82,$76793385.73,$33705898.52,$82261479.46,$84883244.34,$81645208.06,$13698545.41,$5120346.99,$1671779.24,$74757064.71,91.74,22.42,75.06,17.97,17.58,22.83,40.6,45.83,56.2,99.06
852,Dynava,Germany,EUR,$1.59B,34.9,$674.13M,$115.2M,n/a,n/a,$57.73M,$33.73M,$231.89M,n/a,$498.13M,$751.86M,$58563980.03,$22524235.21,$57841015.42,$13571566.33,$26018580.80,$65017253.26,$57033793.46,$88721571.83,$70556811.04,$10244516.10,$76326648.16,$50139947.57,$58112859.02,$89252216.00,$50530545.07,$79356232.43,$93139150.88,$67680921.37,$12184153.77,$54837776.73,1.94,23.57,2.31,19.55,8.38,31.62,34.03,14.52,54.61,31.28
853,Linklinks,Indonesia,IDR,$479.46M,56.1,$110.06M,$641.08M,$106.47M,$31.1B,$1.15B,$88.03M,$19.65M,n/a,$3.18B,$2.22B,$16586375.66,$15335314.07,$35018246.67,$86702954.17,$70534795.99,$79514644.56,$69608612.46,$17062921.48,$99861638.42,$20142528.46,$62584014.18,$23687531.94,$39805622.47,$28131801.66,$67237749.70,$28252628.89,$98230348.33,$66857552.16,$18262557.89,$68576634.08,34.7,13.98,78.67,55.44,94.63,23.72,19.46,73.27,56.86,43.86
854,Latz,Indonesia,IDR,$10.77B,59.9,$264.23M,$326.61M,$34.26B,$1.11B,$29.15M,n/a,$390.46M,n/a,$702.5M,$9.37B,$58455090.61,$51399532.33,$36627775.14,$27261866.83,$5231250.37,$47537537.04,$4897966.18,$35064234.62,$51410108.97,$46142334.68,$65566158.18,$30893746.37,$79293647.54,$4298449.15,$54143480.68,$90029014.41,$9180323.98,$10013443.85,$51080171.55,$40924331.16,5.42,93.29,36.18,22.9,8.93,92.39,90.35,49.28,94.45,66.83
855,Zazio,China,CNY,$1.26B,42.4,$9.9B,$737.05M,$177.4M,$548.61M,$552.62M,$222.61M,$90.19M,$2.25B,$145.93M,$308.11M,$15329747.44,$7212154.78,$4123600.12,$71915851.65,$76940663.50,$25272523.51,$38925150.13,$48782273.48,$99929235.08,$45930125.77,$43844022.01,$14261015.12,$42418555.51,$5094707.60,$10996140.97,$96368982.29,$3085529.56,$28294343.73,$98609173.65,$70131745.45,54.37,33.61,8.19,49.97,90.98,13.12,46.85,58.34,25.37,60.16
856,Gabtune,China,CNY,$8.29B,89.9,$1.02B,$1.93B,$888.39M,$947.48M,n/a,$311.18M,n/a,$167.89M,$3.59B,$1.45B,$61074189.93,$35357571.71,$44844511.54,$82251781.58,$19257403.20,$31583565.64,$79224751.63,$92151899.20,$96196667.60,$54914495.21,$32709051.51,$59419657.18,$15078928.63,$83582650.66,$85746390.34,$51046242.58,$99150445.50,$83731839.46,$22990185.16,$72973640.36,34.21,81.65,14.8,37.54,70.1,51.41,74.32,52.3,28.19,31.69
857,Skiptube,Indonesia,IDR,$628.6M,27.9,$151.04M,$555.7M,$1.05B,$184.04M,$13.88B,$934.3M,$822.77M,$6.37B,$359.34M,$1.22B,$98658121.08,$13639436.13,$69171218.81,$36257989.96,$20701098.89,$30878159.35,$22934241.63,$63942053.90,$30519651.28,$97819576.41,$49590856.41,$18096662.61,$11842096.39,$64292889.61,$46421558.35,$34969822.87,$10904079.12,$19330061.91,$22029435.71,$91873217.24,55.85,84.74,57.59,63.9,67.95,34.84,66.54,58.59,45.27,78.25
858,Skidoo,Ukraine,UAH,$27.02B,45.5,$2.54B,$442.25M,$10.29B,$5.48B,$276.46M,$7.6B,$341.72M,$24.06B,$18.51M,$145.12M,$30755674.13,$10448478.12,$2669489.44,$59113667.37,$8777188.90,$30343474.63,$4643022.56,$35945737.25,$92402687.29,$17084477.49,$75538942.14,$25572249.77,$85947763.29,$74587433.60,$34311505.59,$44577792.28,$47332966.67,$69752400.35,$59513096.55,$49532568.22,91.86,91.67,36.98,11.88,97.55,3.43,78.85,90.07,43.46,8.07
859,Flashdog,France,EUR,$718.32M,60.6,n/a,$2.05B,$410.69M,$589.55M,n/a,$14.95M,$17.1B,$5.04B,$298.04M,$5.41M,$62362835.31,$42708330.71,$5243781.70,$10132794.71,$77069744.31,$1509925.35,$86828914.35,$99312395.36,$74195583.63,$17387142.20,$8534256.72,$73792291.06,$41049713.31,$15155000.23,$7775314.08,$87135127.97,$86861413.99,$69793336.98,$36788277.17,$32138168.52,6.76,65.62,73.85,35.87,75.36,57.97,9.45,6.14,31.81,26.02
860,Skinder,Poland,PLN,$7.76B,28.6,$3.61B,$61.97M,$38.27M,$12.73B,$4.23B,$9.39M,$1.05B,$40.78M,$6.29M,$10.19B,$54667163.88,$1748064.74,$72793448.83,$34013746.43,$70260574.96,$53918864.96,$27169295.65,$60398709.07,$10317928.97,$5383569.43,$62879846.42,$98811718.56,$5424626.00,$61092988.71,$48784432.84,$57512738.45,$68930034.78,$52002473.94,$71017673.56,$86320558.67,8.69,26.88,13.55,95.08,6.11,31.39,3.77,31.86,21.33,52.85
861,Devpoint,Czech Republic,CZK,$13.01M,62.9,$68.47M,$11.27M,$478.88M,$6.11M,$630.7M,$2.52B,$1.27B,$27.49M,$4.95B,$36.89M,$81179642.59,$52922722.65,$18113346.27,$6291207.56,$67656113.30,$75942672.94,$55391493.87,$38319117.53,$1798479.94,$56517155.99,$5940170.61,$66319682.52,$68290057.61,$88410583.29,$4210022.38,$85575664.93,$83745846.70,$18844992.67,$10248399.42,$83391842.39,84.79,19.45,84.43,43.39,41.6,62.93,33.81,43.05,6.38,87.79
862,Quaxo,Indonesia,IDR,$445.1M,23.3,$8.56B,n/a,n/a,$12.15B,$4.13B,n/a,$1.69B,$39.22B,$27.09B,$106.15M,$33673678.50,$93254245.27,$49858596.87,$74826592.21,$29962307.65,$8056899.70,$43717001.26,$78647648.09,$391834.59,$37924404.25,$44643278.50,$49389312.07,$12429436.97,$4433321.74,$70316935.27,$7991326.68,$89016020.77,$63005932.91,$60787977.92,$21158849.01,57.93,42.31,67.4,40.54,42.33,3.61,71.43,66.82,93.4,70.4
